date,unemployment_rate,GDP_in_millions
1/1/1948,3.3,265742
4/1/1948,3.3,272567
7/1/1948,3.3,279196
10/1/1948,3.4,280366
1/1/1949,4.1,275034
4/1/1949,5.3,271351
7/1/1949,6.1,272889
10/1/1949,6.4,270627
1/1/1950,5.8,280828
4/1/1950,5.1,290383
7/1/1950,4.2,308153
10/1/1950,3.8,319945
1/1/1951,3.2,336000
4/1/1951,2.8,344090
7/1/1951,2.8,351385
10/1/1951,3,356178
1/1/1952,2.7,359820
4/1/1952,2.6,361030
7/1/1952,2.8,367701
10/1/1952,2.4,380812
1/1/1953,2.4,387980
4/1/1953,2.3,391749
7/1/1953,2.4,391171
10/1/1953,3.3,385970
1/1/1954,4.7,385345
4/1/1954,5.3,386121
7/1/1954,5.5,390996
10/1/1954,4.9,399734
1/1/1955,4.3,413073
4/1/1955,4,421532
7/1/1955,3.7,430221
10/1/1955,3.7,437092
1/1/1956,3.6,439746
4/1/1956,3.7,446010
7/1/1956,3.7,451191
10/1/1956,3.7,460463
1/1/1957,3.5,469779
4/1/1957,3.6,472025
7/1/1957,3.7,479490
10/1/1957,4.4,474864
1/1/1958,5.7,467540
4/1/1958,6.8,471978
7/1/1958,6.7,485841
10/1/1958,5.7,499555
1/1/1959,5.3,510330
4/1/1959,4.5,522653
7/1/1959,4.6,525034
10/1/1959,4.9,528600
1/1/1960,4.5,542648
4/1/1960,4.6,541080
7/1/1960,4.9,545604
10/1/1960,5.6,540197
1/1/1961,6,545018
4/1/1961,6.3,555545
7/1/1961,5.9,567664
10/1/1961,5.4,580612
1/1/1962,4.9,594013
4/1/1962,4.8,600366
7/1/1962,4.9,609027
10/1/1962,4.8,612280
1/1/1963,5,621672
4/1/1963,4.8,629752
7/1/1963,4.6,644444
10/1/1963,4.7,653938
1/1/1964,4.6,669822
4/1/1964,4.3,678674
7/1/1964,4.1,692031
10/1/1964,4.1,697319
1/1/1965,4,717790
4/1/1965,3.8,730191
7/1/1965,3.5,749323
10/1/1965,3.2,771857
1/1/1966,3,795734
4/1/1966,2.9,804981
7/1/1966,2.9,819638
10/1/1966,2.9,833302
1/1/1967,3,844170
4/1/1967,3,848983
7/1/1967,2.9,865233
10/1/1967,3.1,881439
1/1/1968,2.9,909387
4/1/1968,2.7,934344
7/1/1968,2.7,950825
10/1/1968,2.6,968030
1/1/1969,2.6,993337
4/1/1969,2.6,1009020
7/1/1969,2.7,1029956
10/1/1969,2.8,1038147
1/1/1970,3.3,1051200
4/1/1970,3.8,1067375
7/1/1970,4.2,1086059
10/1/1970,4.7,1088608
1/1/1971,4.9,1135156
4/1/1971,4.9,1156271
7/1/1971,4.9,1177675
10/1/1971,4.9,1190297
1/1/1972,4.6,1230609
4/1/1972,4.6,1266369
7/1/1972,4.5,1290566
10/1/1972,4.3,1328904
1/1/1973,4,1377490
4/1/1973,3.9,1413887
7/1/1973,3.8,1433838
10/1/1973,3.7,1476289
1/1/1974,4.1,1491209
4/1/1974,4.1,1530056
7/1/1974,4.5,1560026
10/1/1974,5.4,1599679
1/1/1975,7,1616116
4/1/1975,7.6,1651853
7/1/1975,7.3,1709820
10/1/1975,7.1,1761831
1/1/1976,6.6,1820487
4/1/1976,6.4,1852332
7/1/1976,6.6,1886558
10/1/1976,6.6,1934273
1/1/1977,6.4,1988648
4/1/1977,6,2055909
7/1/1977,5.8,2118473
10/1/1977,5.6,2164270
1/1/1978,5.2,2202760
4/1/1978,4.9,2331633
7/1/1978,4.9,2395053
10/1/1978,4.8,2476949
1/1/1979,4.8,2526610
4/1/1979,4.7,2591247
7/1/1979,4.8,2667565
10/1/1979,4.9,2723883
1/1/1980,5.3,2789842
4/1/1980,6.3,2797352
7/1/1980,6.6,2856483
10/1/1980,6.4,2985557
1/1/1981,6.3,3124206
4/1/1981,6.3,3162532
7/1/1981,6.4,3260609
10/1/1981,7.1,3280818
1/1/1982,7.7,3274302
4/1/1982,8.3,3331972
7/1/1982,8.8,3366322
10/1/1982,9.6,3402561
1/1/1983,9.4,3473413
4/1/1983,9,3578848
7/1/1983,8.3,3689179
10/1/1983,7.6,3794706
1/1/1984,7,3908054
4/1/1984,6.6,4009601
7/1/1984,6.6,4084250
10/1/1984,6.5,4148551
1/1/1985,6.4,4230168
4/1/1985,6.5,4294887
7/1/1985,6.4,4386773
10/1/1985,6.2,4444094
1/1/1986,6.2,4507894
4/1/1986,6.3,4545340
7/1/1986,6.2,4607669
10/1/1986,6,4657627
1/1/1987,5.8,4722156
4/1/1987,5.5,4806160
7/1/1987,5.3,4884555
10/1/1987,5.1,5007994
1/1/1988,5,5073372
4/1/1988,4.8,5190036
7/1/1988,4.8,5282835
10/1/1988,4.7,5399509
1/1/1989,4.5,5511253
4/1/1989,4.6,5612463
7/1/1989,4.6,5695365
10/1/1989,4.7,5747237
1/1/1990,4.7,5872701
4/1/1990,4.7,5960028
7/1/1990,5,6015116
10/1/1990,5.4,6004733
1/1/1991,5.9,6035178
4/1/1991,6.1,6126862
7/1/1991,6.1,6205937
10/1/1991,6.4,6264540
1/1/1992,6.6,6363102
4/1/1992,6.8,6470763
7/1/1992,6.9,6566641
10/1/1992,6.7,6680803
1/1/1993,6.4,6729459
4/1/1993,6.3,6808939
7/1/1993,6.1,6882098
10/1/1993,5.9,7013738
1/1/1994,5.9,7115652
4/1/1994,5.4,7246931
7/1/1994,5.3,7331075
10/1/1994,5,7455288
1/1/1995,4.8,7522289
4/1/1995,4.9,7580997
7/1/1995,4.9,7683125
10/1/1995,4.8,7772586
1/1/1996,4.8,7868468
4/1/1996,4.8,8032840
7/1/1996,4.6,8131408
10/1/1996,4.6,8259771
1/1/1997,4.5,8362655
4/1/1997,4.3,8518825
7/1/1997,4.2,8662823
10/1/1997,4.1,8765907
1/1/1998,4,8866480
4/1/1998,3.8,8969699
7/1/1998,3.9,9121097
10/1/1998,3.8,9293991
1/1/1999,3.6,9417264
4/1/1999,3.6,9524152
7/1/1999,3.6,9681856
10/1/1999,3.5,9899378
1/1/2000,3.5,10002857
4/1/2000,3.4,10247679
7/1/2000,3.5,10319825
10/1/2000,3.4,10439025
1/1/2001,3.7,10472879
4/1/2001,3.9,10597822
7/1/2001,4.2,10596294
10/1/2001,4.9,10660294
1/1/2002,5.1,10788952
4/1/2002,5.2,10893207
7/1/2002,5.1,10992051
10/1/2002,5.3,11071463
1/1/2003,5.3,11183507
4/1/2003,5.5,11312875
7/1/2003,5.5,11567326
10/1/2003,5.3,11769275
1/1/2004,5.1,11920169
4/1/2004,5,12108987
7/1/2004,4.8,12303340
10/1/2004,4.8,12522425
1/1/2005,4.7,12761337
4/1/2005,4.5,12910022
7/1/2005,4.4,13142873
10/1/2005,4.4,13332316
1/1/2006,4.2,13603933
4/1/2006,4.1,13749806
7/1/2006,4.1,13867469
10/1/2006,3.9,14037228
1/1/2007,4,14208569
4/1/2007,3.9,14382363
7/1/2007,4.1,14535003
10/1/2007,4.3,14681501
1/1/2008,4.4,14651039
4/1/2008,4.7,14805611
7/1/2008,5.4,14835187
10/1/2008,6.3,14559543
1/1/2009,7.7,14394547
4/1/2009,8.7,14352850
7/1/2009,8.9,14420312
10/1/2009,9.2,14628021
1/1/2010,9.2,14721350
4/1/2010,9,14926098
7/1/2010,8.8,15079917
10/1/2010,8.9,15240843
1/1/2011,8.4,15285828
4/1/2011,8.5,15496189
7/1/2011,8.4,15591850
10/1/2011,8.1,15796460
1/1/2012,7.6,16019758
4/1/2012,7.6,16152257
7/1/2012,7.4,16257151
10/1/2012,7.2,16358863
1/1/2013,7.1,16569591
4/1/2013,6.9,16637926
7/1/2013,6.7,16848748
10/1/2013,6.4,17083137
1/1/2014,6.1,17104555
4/1/2014,5.7,17432909
7/1/2014,5.6,17721657
10/1/2014,5.3,17849912
1/1/2015,5.1,17984178
4/1/2015,5,18219405
7/1/2015,4.7,18344713
10/1/2015,4.6,18350825
1/1/2016,4.5,18424283
4/1/2016,4.5,18637253
7/1/2016,4.5,18806743
10/1/2016,4.4,18991883
1/1/2017,4.2,19190431
4/1/2017,4,19356649
7/1/2017,4,19611704
10/1/2017,3.7,19918910
1/1/2018,3.7,20163159
4/1/2018,3.6,20510177
7/1/2018,3.5,20749752
10/1/2018,3.5,20897804
1/1/2019,3.5,21098827
4/1/2019,3.3,21340267
7/1/2019,3.3,21542540
10/1/2019,3.2,21729124
1/1/2020,3.5,21537940
