Series ID,Year,Period,Label,Value
LNS14000024Q,1948,Q01,1948 Qtr1,3.3
LNS14000024Q,1948,Q02,1948 Qtr2,3.3
LNS14000024Q,1948,Q03,1948 Qtr3,3.3
LNS14000024Q,1948,Q04,1948 Qtr4,3.4
LNS14000024Q,1949,Q01,1949 Qtr1,4.1
LNS14000024Q,1949,Q02,1949 Qtr2,5.3
LNS14000024Q,1949,Q03,1949 Qtr3,6.1
LNS14000024Q,1949,Q04,1949 Qtr4,6.4
LNS14000024Q,1950,Q01,1950 Qtr1,5.8
LNS14000024Q,1950,Q02,1950 Qtr2,5.1
LNS14000024Q,1950,Q03,1950 Qtr3,4.2
LNS14000024Q,1950,Q04,1950 Qtr4,3.8
LNS14000024Q,1951,Q01,1951 Qtr1,3.2
LNS14000024Q,1951,Q02,1951 Qtr2,2.8
LNS14000024Q,1951,Q03,1951 Qtr3,2.8
LNS14000024Q,1951,Q04,1951 Qtr4,3
LNS14000024Q,1952,Q01,1952 Qtr1,2.7
LNS14000024Q,1952,Q02,1952 Qtr2,2.6
LNS14000024Q,1952,Q03,1952 Qtr3,2.8
LNS14000024Q,1952,Q04,1952 Qtr4,2.4
LNS14000024Q,1953,Q01,1953 Qtr1,2.4
LNS14000024Q,1953,Q02,1953 Qtr2,2.3
LNS14000024Q,1953,Q03,1953 Qtr3,2.4
LNS14000024Q,1953,Q04,1953 Qtr4,3.3
LNS14000024Q,1954,Q01,1954 Qtr1,4.7
LNS14000024Q,1954,Q02,1954 Qtr2,5.3
LNS14000024Q,1954,Q03,1954 Qtr3,5.5
LNS14000024Q,1954,Q04,1954 Qtr4,4.9
LNS14000024Q,1955,Q01,1955 Qtr1,4.3
LNS14000024Q,1955,Q02,1955 Qtr2,4
LNS14000024Q,1955,Q03,1955 Qtr3,3.7
LNS14000024Q,1955,Q04,1955 Qtr4,3.7
LNS14000024Q,1956,Q01,1956 Qtr1,3.6
LNS14000024Q,1956,Q02,1956 Qtr2,3.7
LNS14000024Q,1956,Q03,1956 Qtr3,3.7
LNS14000024Q,1956,Q04,1956 Qtr4,3.7
LNS14000024Q,1957,Q01,1957 Qtr1,3.5
LNS14000024Q,1957,Q02,1957 Qtr2,3.6
LNS14000024Q,1957,Q03,1957 Qtr3,3.7
LNS14000024Q,1957,Q04,1957 Qtr4,4.4
LNS14000024Q,1958,Q01,1958 Qtr1,5.7
LNS14000024Q,1958,Q02,1958 Qtr2,6.8
LNS14000024Q,1958,Q03,1958 Qtr3,6.7
LNS14000024Q,1958,Q04,1958 Qtr4,5.7
LNS14000024Q,1959,Q01,1959 Qtr1,5.3
LNS14000024Q,1959,Q02,1959 Qtr2,4.5
LNS14000024Q,1959,Q03,1959 Qtr3,4.6
LNS14000024Q,1959,Q04,1959 Qtr4,4.9
LNS14000024Q,1960,Q01,1960 Qtr1,4.5
LNS14000024Q,1960,Q02,1960 Qtr2,4.6
LNS14000024Q,1960,Q03,1960 Qtr3,4.9
LNS14000024Q,1960,Q04,1960 Qtr4,5.6
LNS14000024Q,1961,Q01,1961 Qtr1,6
LNS14000024Q,1961,Q02,1961 Qtr2,6.3
LNS14000024Q,1961,Q03,1961 Qtr3,5.9
LNS14000024Q,1961,Q04,1961 Qtr4,5.4
LNS14000024Q,1962,Q01,1962 Qtr1,4.9
LNS14000024Q,1962,Q02,1962 Qtr2,4.8
LNS14000024Q,1962,Q03,1962 Qtr3,4.9
LNS14000024Q,1962,Q04,1962 Qtr4,4.8
LNS14000024Q,1963,Q01,1963 Qtr1,5
LNS14000024Q,1963,Q02,1963 Qtr2,4.8
LNS14000024Q,1963,Q03,1963 Qtr3,4.6
LNS14000024Q,1963,Q04,1963 Qtr4,4.7
LNS14000024Q,1964,Q01,1964 Qtr1,4.6
LNS14000024Q,1964,Q02,1964 Qtr2,4.3
LNS14000024Q,1964,Q03,1964 Qtr3,4.1
LNS14000024Q,1964,Q04,1964 Qtr4,4.1
LNS14000024Q,1965,Q01,1965 Qtr1,4
LNS14000024Q,1965,Q02,1965 Qtr2,3.8
LNS14000024Q,1965,Q03,1965 Qtr3,3.5
LNS14000024Q,1965,Q04,1965 Qtr4,3.2
LNS14000024Q,1966,Q01,1966 Qtr1,3
LNS14000024Q,1966,Q02,1966 Qtr2,2.9
LNS14000024Q,1966,Q03,1966 Qtr3,2.9
LNS14000024Q,1966,Q04,1966 Qtr4,2.9
LNS14000024Q,1967,Q01,1967 Qtr1,3
LNS14000024Q,1967,Q02,1967 Qtr2,3
LNS14000024Q,1967,Q03,1967 Qtr3,2.9
LNS14000024Q,1967,Q04,1967 Qtr4,3.1
LNS14000024Q,1968,Q01,1968 Qtr1,2.9
LNS14000024Q,1968,Q02,1968 Qtr2,2.7
LNS14000024Q,1968,Q03,1968 Qtr3,2.7
LNS14000024Q,1968,Q04,1968 Qtr4,2.6
LNS14000024Q,1969,Q01,1969 Qtr1,2.6
LNS14000024Q,1969,Q02,1969 Qtr2,2.6
LNS14000024Q,1969,Q03,1969 Qtr3,2.7
LNS14000024Q,1969,Q04,1969 Qtr4,2.8
LNS14000024Q,1970,Q01,1970 Qtr1,3.3
LNS14000024Q,1970,Q02,1970 Qtr2,3.8
LNS14000024Q,1970,Q03,1970 Qtr3,4.2
LNS14000024Q,1970,Q04,1970 Qtr4,4.7
LNS14000024Q,1971,Q01,1971 Qtr1,4.9
LNS14000024Q,1971,Q02,1971 Qtr2,4.9
LNS14000024Q,1971,Q03,1971 Qtr3,4.9
LNS14000024Q,1971,Q04,1971 Qtr4,4.9
LNS14000024Q,1972,Q01,1972 Qtr1,4.6
LNS14000024Q,1972,Q02,1972 Qtr2,4.6
LNS14000024Q,1972,Q03,1972 Qtr3,4.5
LNS14000024Q,1972,Q04,1972 Qtr4,4.3
LNS14000024Q,1973,Q01,1973 Qtr1,4
LNS14000024Q,1973,Q02,1973 Qtr2,3.9
LNS14000024Q,1973,Q03,1973 Qtr3,3.8
LNS14000024Q,1973,Q04,1973 Qtr4,3.7
LNS14000024Q,1974,Q01,1974 Qtr1,4.1
LNS14000024Q,1974,Q02,1974 Qtr2,4.1
LNS14000024Q,1974,Q03,1974 Qtr3,4.5
LNS14000024Q,1974,Q04,1974 Qtr4,5.4
LNS14000024Q,1975,Q01,1975 Qtr1,7
LNS14000024Q,1975,Q02,1975 Qtr2,7.6
LNS14000024Q,1975,Q03,1975 Qtr3,7.3
LNS14000024Q,1975,Q04,1975 Qtr4,7.1
LNS14000024Q,1976,Q01,1976 Qtr1,6.6
LNS14000024Q,1976,Q02,1976 Qtr2,6.4
LNS14000024Q,1976,Q03,1976 Qtr3,6.6
LNS14000024Q,1976,Q04,1976 Qtr4,6.6
LNS14000024Q,1977,Q01,1977 Qtr1,6.4
LNS14000024Q,1977,Q02,1977 Qtr2,6
LNS14000024Q,1977,Q03,1977 Qtr3,5.8
LNS14000024Q,1977,Q04,1977 Qtr4,5.6
LNS14000024Q,1978,Q01,1978 Qtr1,5.2
LNS14000024Q,1978,Q02,1978 Qtr2,4.9
LNS14000024Q,1978,Q03,1978 Qtr3,4.9
LNS14000024Q,1978,Q04,1978 Qtr4,4.8
LNS14000024Q,1979,Q01,1979 Qtr1,4.8
LNS14000024Q,1979,Q02,1979 Qtr2,4.7
LNS14000024Q,1979,Q03,1979 Qtr3,4.8
LNS14000024Q,1979,Q04,1979 Qtr4,4.9
LNS14000024Q,1980,Q01,1980 Qtr1,5.3
LNS14000024Q,1980,Q02,1980 Qtr2,6.3
LNS14000024Q,1980,Q03,1980 Qtr3,6.6
LNS14000024Q,1980,Q04,1980 Qtr4,6.4
LNS14000024Q,1981,Q01,1981 Qtr1,6.3
LNS14000024Q,1981,Q02,1981 Qtr2,6.3
LNS14000024Q,1981,Q03,1981 Qtr3,6.4
LNS14000024Q,1981,Q04,1981 Qtr4,7.1
LNS14000024Q,1982,Q01,1982 Qtr1,7.7
LNS14000024Q,1982,Q02,1982 Qtr2,8.3
LNS14000024Q,1982,Q03,1982 Qtr3,8.8
LNS14000024Q,1982,Q04,1982 Qtr4,9.6
LNS14000024Q,1983,Q01,1983 Qtr1,9.4
LNS14000024Q,1983,Q02,1983 Qtr2,9
LNS14000024Q,1983,Q03,1983 Qtr3,8.3
LNS14000024Q,1983,Q04,1983 Qtr4,7.6
LNS14000024Q,1984,Q01,1984 Qtr1,7
LNS14000024Q,1984,Q02,1984 Qtr2,6.6
LNS14000024Q,1984,Q03,1984 Qtr3,6.6
LNS14000024Q,1984,Q04,1984 Qtr4,6.5
LNS14000024Q,1985,Q01,1985 Qtr1,6.4
LNS14000024Q,1985,Q02,1985 Qtr2,6.5
LNS14000024Q,1985,Q03,1985 Qtr3,6.4
LNS14000024Q,1985,Q04,1985 Qtr4,6.2
LNS14000024Q,1986,Q01,1986 Qtr1,6.2
LNS14000024Q,1986,Q02,1986 Qtr2,6.3
LNS14000024Q,1986,Q03,1986 Qtr3,6.2
LNS14000024Q,1986,Q04,1986 Qtr4,6
LNS14000024Q,1987,Q01,1987 Qtr1,5.8
LNS14000024Q,1987,Q02,1987 Qtr2,5.5
LNS14000024Q,1987,Q03,1987 Qtr3,5.3
LNS14000024Q,1987,Q04,1987 Qtr4,5.1
LNS14000024Q,1988,Q01,1988 Qtr1,5
LNS14000024Q,1988,Q02,1988 Qtr2,4.8
LNS14000024Q,1988,Q03,1988 Qtr3,4.8
LNS14000024Q,1988,Q04,1988 Qtr4,4.7
LNS14000024Q,1989,Q01,1989 Qtr1,4.5
LNS14000024Q,1989,Q02,1989 Qtr2,4.6
LNS14000024Q,1989,Q03,1989 Qtr3,4.6
LNS14000024Q,1989,Q04,1989 Qtr4,4.7
LNS14000024Q,1990,Q01,1990 Qtr1,4.7
LNS14000024Q,1990,Q02,1990 Qtr2,4.7
LNS14000024Q,1990,Q03,1990 Qtr3,5
LNS14000024Q,1990,Q04,1990 Qtr4,5.4
LNS14000024Q,1991,Q01,1991 Qtr1,5.9
LNS14000024Q,1991,Q02,1991 Qtr2,6.1
LNS14000024Q,1991,Q03,1991 Qtr3,6.1
LNS14000024Q,1991,Q04,1991 Qtr4,6.4
LNS14000024Q,1992,Q01,1992 Qtr1,6.6
LNS14000024Q,1992,Q02,1992 Qtr2,6.8
LNS14000024Q,1992,Q03,1992 Qtr3,6.9
LNS14000024Q,1992,Q04,1992 Qtr4,6.7
LNS14000024Q,1993,Q01,1993 Qtr1,6.4
LNS14000024Q,1993,Q02,1993 Qtr2,6.3
LNS14000024Q,1993,Q03,1993 Qtr3,6.1
LNS14000024Q,1993,Q04,1993 Qtr4,5.9
LNS14000024Q,1994,Q01,1994 Qtr1,5.9
LNS14000024Q,1994,Q02,1994 Qtr2,5.4
LNS14000024Q,1994,Q03,1994 Qtr3,5.3
LNS14000024Q,1994,Q04,1994 Qtr4,5
LNS14000024Q,1995,Q01,1995 Qtr1,4.8
LNS14000024Q,1995,Q02,1995 Qtr2,4.9
LNS14000024Q,1995,Q03,1995 Qtr3,4.9
LNS14000024Q,1995,Q04,1995 Qtr4,4.8
LNS14000024Q,1996,Q01,1996 Qtr1,4.8
LNS14000024Q,1996,Q02,1996 Qtr2,4.8
LNS14000024Q,1996,Q03,1996 Qtr3,4.6
LNS14000024Q,1996,Q04,1996 Qtr4,4.6
LNS14000024Q,1997,Q01,1997 Qtr1,4.5
LNS14000024Q,1997,Q02,1997 Qtr2,4.3
LNS14000024Q,1997,Q03,1997 Qtr3,4.2
LNS14000024Q,1997,Q04,1997 Qtr4,4.1
LNS14000024Q,1998,Q01,1998 Qtr1,4
LNS14000024Q,1998,Q02,1998 Qtr2,3.8
LNS14000024Q,1998,Q03,1998 Qtr3,3.9
LNS14000024Q,1998,Q04,1998 Qtr4,3.8
LNS14000024Q,1999,Q01,1999 Qtr1,3.6
LNS14000024Q,1999,Q02,1999 Qtr2,3.6
LNS14000024Q,1999,Q03,1999 Qtr3,3.6
LNS14000024Q,1999,Q04,1999 Qtr4,3.5
LNS14000024Q,2000,Q01,2000 Qtr1,3.5
LNS14000024Q,2000,Q02,2000 Qtr2,3.4
LNS14000024Q,2000,Q03,2000 Qtr3,3.5
LNS14000024Q,2000,Q04,2000 Qtr4,3.4
LNS14000024Q,2001,Q01,2001 Qtr1,3.7
LNS14000024Q,2001,Q02,2001 Qtr2,3.9
LNS14000024Q,2001,Q03,2001 Qtr3,4.2
LNS14000024Q,2001,Q04,2001 Qtr4,4.9
LNS14000024Q,2002,Q01,2002 Qtr1,5.1
LNS14000024Q,2002,Q02,2002 Qtr2,5.2
LNS14000024Q,2002,Q03,2002 Qtr3,5.1
LNS14000024Q,2002,Q04,2002 Qtr4,5.3
LNS14000024Q,2003,Q01,2003 Qtr1,5.3
LNS14000024Q,2003,Q02,2003 Qtr2,5.5
LNS14000024Q,2003,Q03,2003 Qtr3,5.5
LNS14000024Q,2003,Q04,2003 Qtr4,5.3
LNS14000024Q,2004,Q01,2004 Qtr1,5.1
LNS14000024Q,2004,Q02,2004 Qtr2,5
LNS14000024Q,2004,Q03,2004 Qtr3,4.8
LNS14000024Q,2004,Q04,2004 Qtr4,4.8
LNS14000024Q,2005,Q01,2005 Qtr1,4.7
LNS14000024Q,2005,Q02,2005 Qtr2,4.5
LNS14000024Q,2005,Q03,2005 Qtr3,4.4
LNS14000024Q,2005,Q04,2005 Qtr4,4.4
LNS14000024Q,2006,Q01,2006 Qtr1,4.2
LNS14000024Q,2006,Q02,2006 Qtr2,4.1
LNS14000024Q,2006,Q03,2006 Qtr3,4.1
LNS14000024Q,2006,Q04,2006 Qtr4,3.9
LNS14000024Q,2007,Q01,2007 Qtr1,4
LNS14000024Q,2007,Q02,2007 Qtr2,3.9
LNS14000024Q,2007,Q03,2007 Qtr3,4.1
LNS14000024Q,2007,Q04,2007 Qtr4,4.3
LNS14000024Q,2008,Q01,2008 Qtr1,4.4
LNS14000024Q,2008,Q02,2008 Qtr2,4.7
LNS14000024Q,2008,Q03,2008 Qtr3,5.4
LNS14000024Q,2008,Q04,2008 Qtr4,6.3
LNS14000024Q,2009,Q01,2009 Qtr1,7.7
LNS14000024Q,2009,Q02,2009 Qtr2,8.7
LNS14000024Q,2009,Q03,2009 Qtr3,8.9
LNS14000024Q,2009,Q04,2009 Qtr4,9.2
LNS14000024Q,2010,Q01,2010 Qtr1,9.2
LNS14000024Q,2010,Q02,2010 Qtr2,9
LNS14000024Q,2010,Q03,2010 Qtr3,8.8
LNS14000024Q,2010,Q04,2010 Qtr4,8.9
LNS14000024Q,2011,Q01,2011 Qtr1,8.4
LNS14000024Q,2011,Q02,2011 Qtr2,8.5
LNS14000024Q,2011,Q03,2011 Qtr3,8.4
LNS14000024Q,2011,Q04,2011 Qtr4,8.1
LNS14000024Q,2012,Q01,2012 Qtr1,7.6
LNS14000024Q,2012,Q02,2012 Qtr2,7.6
LNS14000024Q,2012,Q03,2012 Qtr3,7.4
LNS14000024Q,2012,Q04,2012 Qtr4,7.2
LNS14000024Q,2013,Q01,2013 Qtr1,7.1
LNS14000024Q,2013,Q02,2013 Qtr2,6.9
LNS14000024Q,2013,Q03,2013 Qtr3,6.7
LNS14000024Q,2013,Q04,2013 Qtr4,6.4
LNS14000024Q,2014,Q01,2014 Qtr1,6.1
LNS14000024Q,2014,Q02,2014 Qtr2,5.7
LNS14000024Q,2014,Q03,2014 Qtr3,5.6
LNS14000024Q,2014,Q04,2014 Qtr4,5.3
LNS14000024Q,2015,Q01,2015 Qtr1,5.1
LNS14000024Q,2015,Q02,2015 Qtr2,5
LNS14000024Q,2015,Q03,2015 Qtr3,4.7
LNS14000024Q,2015,Q04,2015 Qtr4,4.6
LNS14000024Q,2016,Q01,2016 Qtr1,4.5
LNS14000024Q,2016,Q02,2016 Qtr2,4.5
LNS14000024Q,2016,Q03,2016 Qtr3,4.5
LNS14000024Q,2016,Q04,2016 Qtr4,4.4
LNS14000024Q,2017,Q01,2017 Qtr1,4.2
LNS14000024Q,2017,Q02,2017 Qtr2,4
LNS14000024Q,2017,Q03,2017 Qtr3,4
LNS14000024Q,2017,Q04,2017 Qtr4,3.7
LNS14000024Q,2018,Q01,2018 Qtr1,3.7
LNS14000024Q,2018,Q02,2018 Qtr2,3.6
LNS14000024Q,2018,Q03,2018 Qtr3,3.5
LNS14000024Q,2018,Q04,2018 Qtr4,3.5
LNS14000024Q,2019,Q01,2019 Qtr1,3.5
LNS14000024Q,2019,Q02,2019 Qtr2,3.3
LNS14000024Q,2019,Q03,2019 Qtr3,3.3
LNS14000024Q,2019,Q04,2019 Qtr4,3.2
LNS14000024Q,2020,Q01,2020 Qtr1,3.5
